location,n_vaccinated,perc_of_pop
Angola,"245,442",0.8%
Latvia,"198,006",10.5%
Cyprus,"161,389",18.4%
Oman,"198,563",3.9%
Iraq,"197,914",0.5%
Palestine,"166,849",3.3%
New Zealand,"140,580",2.9%
Luxembourg,"120,308",19.2%
Guatemala,"158,543",0.9%
Togo,"160,000",1.9%
Egypt,"148,987",0.1%
Laos,"106,105",1.5%
Jamaica,"135,473",4.6%
Afghanistan,"120,000",0.3%
Mauritius,"117,323",9.2%
Seychelles,"66,433",67.5%
Guinea,"83,324",0.6%
Vietnam,"108,897",0.1%
Northern Cyprus,"58,812",15.4%
Iceland,"70,482",20.6%
Sudan,"100,010",0.2%
Moldova,"88,824",2.2%
Ivory Coast,"94,818",0.4%
Paraguay,"80,428",1.1%
Belarus,"92,000",1.0%
Macau,"55,750",8.6%
Algeria[f],"75,000",--
Curaçao,"59,842",36.5%
Guyana,"73,000",9.3%
Jersey,"47,673",47.2%
Barbados,"71,134",24.8%
Isle of Man,"51,585",60.7%
Gibraltar,"35,901",106.6%
Cayman Islands,"34,786",52.9%
Nicaragua,"61,625",0.9%
Honduras,"55,000",0.6%
Montenegro,"38,927",6.2%
Mozambique,"57,305",0.2%
Fiji,"56,000",6.2%
Bermuda,"30,094",48.3%
Guernsey,"32,969",49.2%
Equatorial Guinea,"38,024",2.7%
Sierra Leone,"42,566",0.5%
Aruba,"27,511",25.8%
North Macedonia,"43,032",2.1%
Taiwan[f],"36,731",--
Belize,"35,990",9.1%
Suriname,"35,424",6.0%
Georgia,"31,911",0.8%
Eswatini,"31,846",2.7%
Botswana,"31,628",1.3%
Antigua and Barbuda,"28,639",29.2%
Mali,"26,226",0.1%
Turks and Caicos Islands,"14,300",36.9%
Saint Lucia[f],"23,829",--
San Marino,"14,699",43.3%
Monaco,"12,094",30.8%
Andorra[f],"19,064",--
Dominica,"17,948",24.9%
Gambia,"16,735",0.7%
Trinidad and Tobago,"16,462",1.2%
Kosovo,"16,132",0.8%
Lesotho,"16,000",0.8%
Bahamas,"15,000",3.8%
Bosnia and Herzegovina[f],"15,000",--
Faroe Islands,"9,641",19.7%
Congo,"14,297",0.3%
Saint Vincent and the Grenadines[f],"12,764",--
Greenland,"7,935",14.0%
Saint Kitts and Nevis,"11,451",21.5%
Grenada,"9,821",8.7%
São Tomé and Príncipe,"9,724",4.4%
Liechtenstein,"5,876",15.4%
Anguilla,"5,835",38.9%
Gabon,"5,362",0.2%
Namibia,"4,620",0.2%
Saint Helena,"3,563",58.7%
Falkland Islands,"2,632",75.6%
Zambia,"3,391",0.0%
Mauritania,"2,930",0.1%
East Timor,"2,629",0.2%
Syria,"2,500",0.0%
Brunei,"2,323",0.5%
Cape Verde,"2,184",0.4%
Kyrgyzstan,"2,100",0.0%
Solomon Islands,"2,000",0.3%
Montserrat,"1,284",25.7%
Niger,"1,366",0.0%
Papua New Guinea,"1,081",0.0%
South Sudan,947,0.0%
Armenia,565,0.0%
Tonga,500,0.5%
Cameroon,400,0.0%
Nauru,168,1.6%
F.S. Micronesia[492],"18,760",18.1%
Marshall Islands[492],"14,073",24.1%
Palau[492],"9,743",54.4%
Vatican City[493][494],22,2.7%
"Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ May include vaccination of non-citizen workers, which can push totals beyond 100% of the local population.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n o p This country's data reflects total doses administered, not the first shot only.","Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ May include vaccination of non-citizen workers, which can push totals beyond 100% of the local population.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n o p This country's data reflects total doses administered, not the first shot only.","Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ May include vaccination of non-citizen workers, which can push totals beyond 100% of the local population.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n o p This country's data reflects total doses administered, not the first shot only."
