location,n_vaccinated,perc_of_pop
Panama,"354,009",8.2%
Slovenia,"351,020",16.9%
Rwanda,"348,926",2.7%
Kazakhstan,"338,582",1.8%
Bolivia,"317,701",2.7%
South Africa,"292,623",0.5%
Albania[e],"281,216",--
Ecuador,"274,160",1.6%
Maldives,"273,660",50.6%
Estonia,"263,081",19.8%
Venezuela,"250,000",0.9%
Angola,"245,442",0.8%
Malawi,"229,220",1.2%
Zimbabwe,"218,516",1.5%
Uganda,"197,299",0.4%
Lebanon,"184,111",2.7%
Malta,"178,292",40.4%
Oman,"173,789",3.4%
Tunisia,"166,959",1.4%
Latvia,"163,419",8.7%
Iraq,"152,962",0.4%
Egypt,"148,987",0.2%
Uzbekistan,"148,642",0.4%
Guatemala,"145,795",0.8%
Palestine,"131,394",2.6%
Cyprus,"130,937",15.0%
Afghanistan,"120,000",0.3%
Luxembourg,"103,565",16.5%
Belarus,"92,000",1.0%
Togo,"82,753",1.0%
Guinea[e],"79,450",--
Moldova,"78,665",2.0%
Algeria[e],"75,000",--
New Zealand,"71,013",1.5%
Ivory Coast,"68,843",0.3%
Iceland,"67,158",19.7%
Seychelles,"66,250",67.4%
Barbados,"65,873",22.9%
Sudan,"63,837",0.2%
Guyana,"60,172",7.7%
Vietnam,"58,037",0.1%
Paraguay,"57,327",0.8%
Mozambique,"57,305",0.2%
Northern Cyprus,"56,516",14.8%
Honduras,"55,000",0.6%
Isle of Man,"48,021",56.5%
Jamaica,"47,728",1.6%
Macau,"46,732",7.2%
Jersey,"45,046",44.6%
Laos,"40,732",0.6%
Sierra Leone,"37,558",0.5%
Montenegro,"36,690",5.8%
Gibraltar,"35,084",104.1%
Suriname,"33,640",5.7%
Cayman Islands,"32,969",50.2%
Botswana,"31,628",1.3%
North Macedonia,"31,460",1.5%
Belize,"29,939",7.5%
Guernsey,"29,575",44.1%
Taiwan,"27,113",0.1%
Antigua and Barbuda,"27,032",27.6%
Bermuda,"25,781",41.4%
Saint Lucia[e],"23,345",--
Georgia,"22,090",0.6%
Eswatini,"20,262",1.8%
Andorra[e],"19,064",--
Dominica,"17,775",24.7%
Gambia,"16,735",0.7%
Bosnia and Herzegovina[e],"15,000",--
Turks and Caicos Islands,"12,935",33.4%
Saint Vincent and the Grenadines[e],"12,124",--
Monaco,"11,715",29.9%
Equatorial Guinea,"11,090",0.8%
Kosovo,"10,704",0.6%
Saint Kitts and Nevis,"10,456",19.7%
San Marino,"10,437",30.8%
Bahamas,"10,000",2.5%
Grenada,"9,821",8.7%
São Tomé and Príncipe,"9,724",4.4%
Faroe Islands,"9,350",19.1%
Liechtenstein[e],"7,414",--
Greenland,"5,845",10.3%
Anguilla,"5,835",38.9%
Trinidad and Tobago,"4,777",0.3%
Gabon,"3,925",0.2%
Mauritius,"3,843",0.3%
Saint Helena,"3,546",58.4%
Mauritania,"2,930",0.1%
Falkland Islands,"2,605",74.8%
Namibia,"2,526",0.1%
Syria,"2,500",0.0%
Brunei,"2,323",0.5%
Cape Verde,"2,184",0.4%
Kyrgyzstan,"2,100",0.0%
Solomon Islands,"2,000",0.3%
Montserrat,"1,266",25.3%
Mali,643,0.0%
Armenia,565,0.0%
Cameroon,400,0.0%
Papua New Guinea,250,0.0%
F.S. Micronesia[460],"17,385",16.8%
Marshall Islands[460],"13,499",23.1%
Palau[460],"8,924",49.8%
Vatican City[461][462],22,2.7%
"Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n o p q r This country's data reflects total doses administered, not the first shot only.","Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n o p q r This country's data reflects total doses administered, not the first shot only.","Sources
List of sources by country.
Notes

^ Latest available data as of this date. Individual country reporting frequency varies.

^ Number of unique individuals who have received at least one dose of a COVID-19 vaccine (unless noted otherwise).

^ Percentage of population that has received at least one dose of a COVID-19 vaccine.

^ Some countries are not yet reporting first-dose counts. Total dose counts for these countries are not included in the World total.

^ a b c d e f g h i j k l m n o p q r This country's data reflects total doses administered, not the first shot only."
